tripId (S),currentStopId (S),currentStopStatus (S),direction (S),futureStops (S),routeId (S),startDate (S),timestamp (N),vehicleTimeStamp (S)
065350_6..S01R,None,None,S,"OrderedDict([(u'601S', [0, 1487606010L]), (u'602S', [1487606160L, 1487606160L]), (u'603S', [1487606250L, 1487606250L]), (u'604S', [1487606340L, 1487606340L]), (u'606S', [1487606430L, 1487606430L]), (u'607S', [1487606490L, 1487606490L]), (u'608S', [1487606610L, 1487606610L]), (u'609S', [1487606700L, 1487606700L]), (u'610S', [1487606790L, 1487606790L]), (u'611S', [1487606850L, 1487606850L]), (u'612S', [1487606970L, 1487606970L]), (u'613S', [1487607090L, 1487607090L]), (u'614S', [1487607180L, 1487607180L]), (u'615S', [1487607300L, 1487607300L]), (u'616S', [1487607360L, 1487607360L]), (u'617S', [1487607480L, 1487607480L]), (u'618S', [1487607540L, 1487607540L]), (u'619S', [1487607630L, 1487607630L]), (u'621S', [1487607810L, 1487607810L]), (u'622S', [1487607900L, 1487607900L]), (u'623S', [1487607990L, 1487607990L]), (u'624S', [1487608050L, 1487608050L]), (u'625S', [1487608140L, 1487608140L]), (u'626S', [1487608260L, 1487608260L]), (u'627S', [1487608380L, 1487608380L]), (u'628S', [1487608500L, 1487608500L]), (u'629S', [1487608590L, 1487608590L]), (u'630S', [1487608710L, 1487608710L]), (u'631S', [1487608830L, 1487608830L]), (u'632S', [1487608950L, 1487608950L]), (u'633S', [1487609010L, 1487609010L]), (u'634S', [1487609070L, 1487609070L]), (u'635S', [1487609190L, 1487609190L]), (u'636S', [1487609250L, 1487609250L]), (u'637S', [1487609340L, 1487609340L]), (u'638S', [1487609400L, 1487609400L]), (u'639S', [1487609490L, 1487609490L]), (u'640S', [1487609610L, 0])])",6,20170220,1487605044,None
061700_1..N03X003,118N,0,N,"OrderedDict([(u'118N', [1487605113L, 1487605113L]), (u'117N', [1487605173L, 1487605173L]), (u'116N', [1487605323L, 1487605323L]), (u'115N', [1487605443L, 0])])",1,20170220,1487605044,1487605030
066550_2..N01X009,None,None,N,"OrderedDict([(u'247N', [0, 1487606730L]), (u'246N', [1487606850L, 1487606850L]), (u'245N', [1487606910L, 1487606910L]), (u'244N', [1487607000L, 1487607000L]), (u'243N', [1487607090L, 1487607090L]), (u'242N', [1487607180L, 1487607180L]), (u'241N', [1487607240L, 1487607240L]), (u'239N', [1487607420L, 1487607420L]), (u'238N', [1487607510L, 1487607510L]), (u'237N', [1487607630L, 1487607630L]), (u'236N', [1487607750L, 1487607750L]), (u'235N', [1487607810L, 1487607810L]), (u'234N', [1487607900L, 1487607900L]), (u'233N', [1487607990L, 1487607990L]), (u'232N', [1487608080L, 1487608080L]), (u'231N', [1487608170L, 1487608170L]), (u'230N', [1487608350L, 1487608350L]), (u'229N', [1487608410L, 1487608410L]), (u'228N', [1487608560L, 1487608560L]), (u'137N', [1487608620L, 1487608620L]), (u'136N', [1487608710L, 1487608710L]), (u'135N', [1487608770L, 1487608770L]), (u'134N', [1487608860L, 1487608860L]), (u'133N', [1487608980L, 1487608980L]), (u'132N', [1487609070L, 1487609070L]), (u'131N', [1487609130L, 1487609130L]), (u'130N', [1487609190L, 1487609190L]), (u'129N', [1487609280L, 1487609280L]), (u'128N', [1487609340L, 1487609340L]), (u'127N', [1487609460L, 1487609460L]), (u'123N', [1487609700L, 1487609700L]), (u'120N', [1487609880L, 1487609880L]), (u'227N', [1487610120L, 1487610120L]), (u'226N', [1487610180L, 1487610180L]), (u'225N', [1487610270L, 1487610270L]), (u'224N', [1487610360L, 1487610360L]), (u'222N', [1487610540L, 1487610540L]), (u'221N', [1487610660L, 1487610660L]), (u'220N', [1487610780L, 1487610780L]), (u'219N', [1487610870L, 1487610870L]), (u'218N', [1487610930L, 1487610930L]), (u'217N', [1487610990L, 1487610990L]), (u'216N', [1487611080L, 1487611080L]), (u'215N', [1487611200L, 1487611200L]), (u'214N', [1487611320L, 1487611320L]), (u'213N', [1487611410L, 1487611410L]), (u'212N', [1487611530L, 1487611530L]), (u'211N', [1487611650L, 1487611650L]), (u'210N', [1487611770L, 1487611770L]), (u'209N', [1487611830L, 1487611830L]), (u'208N', [1487611920L, 1487611920L]), (u'207N', [1487612010L, 1487612010L]), (u'206N', [1487612100L, 1487612100L]), (u'205N', [1487612160L, 1487612160L]), (u'204N', [1487612250L, 1487612550L]), (u'201N', [1487612670L, 0])])",2,20170220,1487605044,None
061850_5..S08R,218S,1,S,"OrderedDict([(u'218S', [1487605046L, 1487605046L]), (u'219S', [1487605136L, 1487605136L]), (u'220S', [1487605226L, 1487605226L]), (u'221S', [1487605346L, 1487605346L]), (u'222S', [1487605466L, 1487605466L]), (u'416S', [1487605616L, 1487605616L]), (u'621S', [1487605766L, 1487605766L]), (u'626S', [1487606036L, 1487606036L]), (u'629S', [1487606276L, 1487606276L]), (u'631S', [1487606426L, 1487606426L]), (u'635S', [1487606666L, 1487606666L]), (u'640S', [1487606936L, 1487606936L]), (u'418S', [1487607026L, 1487607026L]), (u'419S', [1487607116L, 1487607116L]), (u'420S', [1487607176L, 0])])",5,20170220,1487605044,1487605016
056100_2..S01X015,231S,1,S,"OrderedDict([(u'231S', [1487605039L, 1487605039L]), (u'232S', [1487605099L, 1487605099L]), (u'233S', [1487605189L, 1487605189L]), (u'234S', [1487605249L, 1487605249L]), (u'235S', [1487605339L, 1487605339L]), (u'236S', [1487605399L, 1487605399L]), (u'237S', [1487605519L, 1487605519L]), (u'238S', [1487605609L, 1487605609L]), (u'239S', [1487605699L, 1487605699L]), (u'241S', [1487605879L, 1487605879L]), (u'242S', [1487605939L, 1487605939L]), (u'243S', [1487606029L, 1487606029L]), (u'244S', [1487606119L, 1487606419L]), (u'245S', [1487606509L, 1487606509L]), (u'246S', [1487606599L, 1487606599L]), (u'247S', [1487606719L, 0])])",2,20170220,1487605044,1487605009
063500_GS.N03R,902N,0,N,"OrderedDict([(u'902N', [1487604935L, 0])])",GS,20170220,1487604984,1487604925
066500_2..S01X015,None,None,S,"OrderedDict([(u'201S', [0, 1487606700L]), (u'204S', [1487606790L, 1487606790L]), (u'205S', [1487606880L, 1487606880L]), (u'206S', [1487606940L, 1487606940L]), (u'207S', [1487607030L, 1487607030L]), (u'208S', [1487607120L, 1487607120L]), (u'209S', [1487607210L, 1487607210L]), (u'210S', [1487607270L, 1487607270L]), (u'211S', [1487607390L, 1487607390L]), (u'212S', [1487607510L, 1487607510L]), (u'213S', [1487607630L, 1487607630L]), (u'214S', [1487607720L, 1487607720L]), (u'215S', [1487607840L, 1487607840L]), (u'216S', [1487607960L, 1487607960L]), (u'217S', [1487608050L, 1487608050L]), (u'218S', [1487608110L, 1487608110L]), (u'219S', [1487608200L, 1487608200L]), (u'220S', [1487608290L, 1487608290L]), (u'221S', [1487608410L, 1487608410L]), (u'222S', [1487608530L, 1487608530L]), (u'224S', [1487608710L, 1487608710L]), (u'225S', [1487608800L, 1487608800L]), (u'226S', [1487608890L, 1487608890L]), (u'227S', [1487608950L, 1487608950L]), (u'120S', [1487609220L, 1487609220L]), (u'123S', [1487609370L, 1487609370L]), (u'127S', [1487609640L, 1487609640L]), (u'128S', [1487609760L, 1487609760L]), (u'129S', [1487609820L, 1487609820L]), (u'130S', [1487609880L, 1487609880L]), (u'131S', [1487609940L, 1487609940L]), (u'132S', [1487610000L, 1487610000L]), (u'133S', [1487610090L, 1487610090L]), (u'134S', [1487610180L, 1487610180L]), (u'135S', [1487610270L, 1487610270L]), (u'136S', [1487610330L, 1487610330L]), (u'137S', [1487610420L, 1487610420L]), (u'228S', [1487610480L, 1487610480L]), (u'229S', [1487610630L, 1487610630L]), (u'230S', [1487610690L, 1487610690L]), (u'231S', [1487610960L, 1487610960L]), (u'232S', [1487611020L, 1487611020L]), (u'233S', [1487611110L, 1487611110L]), (u'234S', [1487611170L, 1487611170L]), (u'235S', [1487611260L, 1487611260L]), (u'236S', [1487611320L, 1487611320L]), (u'237S', [1487611440L, 1487611440L]), (u'238S', [1487611530L, 1487611530L]), (u'239S', [1487611620L, 1487611620L]), (u'241S', [1487611800L, 1487611800L]), (u'242S', [1487611860L, 1487611860L]), (u'243S', [1487611950L, 1487611950L]), (u'244S', [1487612040L, 1487612340L]), (u'245S', [1487612430L, 1487612430L]), (u'246S', [1487612520L, 1487612520L]), (u'247S', [1487612640L, 0])])",2,20170220,1487605044,None
065200_4..N06R,None,None,N,"OrderedDict([(u'250N', [0, 1487605920L]), (u'239N', [1487606100L, 1487606100L]), (u'235N', [1487606340L, 1487606340L]), (u'234N', [1487606430L, 1487606430L]), (u'423N', [1487606520L, 1487606520L]), (u'420N', [1487606820L, 1487606820L]), (u'419N', [1487606880L, 1487606880L]), (u'418N', [1487606970L, 1487606970L]), (u'640N', [1487607060L, 1487607060L]), (u'635N', [1487607330L, 1487607330L]), (u'631N', [1487607570L, 1487607570L]), (u'629N', [1487607690L, 1487607690L]), (u'626N', [1487607900L, 1487607900L]), (u'621N', [1487608200L, 1487608200L]), (u'416N', [1487608350L, 1487608350L]), (u'415N', [1487608470L, 1487608470L]), (u'414N', [1487608620L, 1487608620L]), (u'413N', [1487608740L, 1487608740L]), (u'412N', [1487608830L, 1487608830L]), (u'411N', [1487608920L, 1487608920L]), (u'410N', [1487608980L, 1487608980L]), (u'409N', [1487609070L, 1487609070L]), (u'408N', [1487609160L, 1487609160L]), (u'407N', [1487609220L, 1487609220L]), (u'406N', [1487609280L, 1487609280L]), (u'405N', [1487609400L, 1487609400L]), (u'402N', [1487609490L, 1487609490L]), (u'401N', [1487609610L, 0])])",4,20170220,1487605044,None
064000_GS.N01R,None,None,N,"OrderedDict([(u'901N', [0, 1487605200L]), (u'902N', [1487605290L, 0])])",GS,20170220,1487605044,None
064100_1..S03X003,115S,1,S,"OrderedDict([(u'115S', [0, 1487605260L]), (u'116S', [1487605350L, 1487605350L]), (u'117S', [1487605500L, 1487605500L]), (u'118S', [1487605560L, 1487605560L]), (u'119S', [1487605620L, 1487605620L]), (u'120S', [1487605740L, 1487605740L]), (u'121S', [1487605860L, 1487605860L]), (u'122S', [1487605920L, 1487605920L]), (u'123S', [1487606010L, 1487606010L]), (u'124S', [1487606100L, 1487606100L]), (u'125S', [1487606190L, 1487606190L]), (u'126S', [1487606310L, 1487606310L]), (u'127S', [1487606400L, 1487606400L]), (u'128S', [1487606580L, 1487606580L]), (u'132S', [1487606820L, 0])])",1,20170220,1487605044,1487605041
066800_4..N06R,None,None,N,"OrderedDict([(u'250N', [0, 1487606880L]), (u'239N', [1487607060L, 1487607060L]), (u'235N', [1487607300L, 1487607300L]), (u'234N', [1487607390L, 1487607390L]), (u'423N', [1487607480L, 1487607480L]), (u'420N', [1487607780L, 1487607780L]), (u'419N', [1487607840L, 1487607840L]), (u'418N', [1487607930L, 1487607930L]), (u'640N', [1487608020L, 1487608020L]), (u'635N', [1487608290L, 1487608290L]), (u'631N', [1487608530L, 1487608530L]), (u'629N', [1487608650L, 1487608650L]), (u'626N', [1487608860L, 1487608860L]), (u'621N', [1487609160L, 1487609160L]), (u'416N', [1487609310L, 1487609310L]), (u'415N', [1487609430L, 1487609430L]), (u'414N', [1487609580L, 1487609580L]), (u'413N', [1487609700L, 1487609700L]), (u'412N', [1487609790L, 1487609790L]), (u'411N', [1487609880L, 1487609880L]), (u'410N', [1487609940L, 1487609940L]), (u'409N', [1487610030L, 1487610030L]), (u'408N', [1487610120L, 1487610120L]), (u'407N', [1487610180L, 1487610180L]), (u'406N', [1487610240L, 1487610240L]), (u'405N', [1487610360L, 1487610360L]), (u'402N', [1487610450L, 1487610450L]), (u'401N', [1487610570L, 0])])",4,20170220,1487605044,None
059450_5..S08R,631S,2,S,"OrderedDict([(u'631S', [1487605122L, 1487605122L]), (u'635S', [1487605362L, 1487605362L]), (u'640S', [1487605632L, 1487605632L]), (u'418S', [1487605722L, 1487605722L]), (u'419S', [1487605812L, 1487605812L]), (u'420S', [1487605872L, 0])])",5,20170220,1487605044,1487605035
063200_3..S01X017,None,None,S,"OrderedDict([(u'301S', [0, 1487604720L]), (u'302S', [1487604810L, 1487604810L]), (u'224S', [1487604930L, 1487604930L]), (u'225S', [1487605020L, 1487605020L]), (u'226S', [1487605110L, 1487605110L]), (u'227S', [1487605170L, 1487605170L]), (u'120S', [1487605440L, 1487605440L]), (u'123S', [1487605590L, 1487605590L]), (u'127S', [1487605860L, 1487605860L]), (u'128S', [1487605980L, 1487605980L]), (u'129S', [1487606040L, 1487606040L]), (u'130S', [1487606130L, 1487606130L]), (u'131S', [1487606190L, 1487606190L]), (u'132S', [1487606250L, 1487606250L]), (u'133S', [1487606340L, 1487606340L]), (u'134S', [1487606430L, 1487606430L]), (u'135S', [1487606520L, 1487606520L]), (u'136S', [1487606580L, 1487606580L]), (u'137S', [1487606640L, 1487606640L]), (u'228S', [1487606700L, 1487606700L]), (u'229S', [1487606850L, 1487606850L]), (u'230S', [1487606910L, 1487606910L]), (u'231S', [1487607180L, 1487607180L]), (u'232S', [1487607240L, 1487607240L]), (u'233S', [1487607330L, 1487607330L]), (u'234S', [1487607390L, 1487607390L]), (u'235S', [1487607480L, 1487607480L]), (u'236S', [1487607540L, 1487607540L]), (u'237S', [1487607660L, 1487607660L]), (u'238S', [1487607750L, 1487607750L]), (u'239S', [1487607840L, 1487607840L]), (u'248S', [1487607930L, 1487607930L]), (u'249S', [1487608020L, 1487608020L]), (u'250S', [1487608140L, 0])])",3,20170220,1487605044,None
060550_6..N01R,621N,1,N,"OrderedDict([(u'621N', [1487605049L, 1487605049L]), (u'619N', [1487605229L, 1487605229L]), (u'618N', [1487605319L, 1487605319L]), (u'617N', [1487605379L, 1487605379L]), (u'616N', [1487605499L, 1487605499L]), (u'615N', [1487605589L, 1487605589L]), (u'614N', [1487605679L, 1487605679L]), (u'613N', [1487605799L, 1487605799L]), (u'612N', [1487605889L, 1487605889L]), (u'611N', [1487606009L, 1487606009L]), (u'610N', [1487606069L, 1487606069L]), (u'609N', [1487606129L, 1487606129L]), (u'608N', [1487606219L, 1487606219L]), (u'607N', [1487606309L, 1487606309L]), (u'606N', [1487606369L, 1487606369L]), (u'604N', [1487606429L, 1487606429L]), (u'603N', [1487606519L, 1487606519L]), (u'602N', [1487606609L, 1487606609L]), (u'601N', [1487606759L, 0])])",6,20170220,1487605044,1487605019
062850_4..S06R,409S,0,S,"OrderedDict([(u'409S', [1487605094L, 1487605094L]), (u'410S', [1487605184L, 1487605184L]), (u'411S', [1487605244L, 1487605244L]), (u'412S', [1487605334L, 1487605334L]), (u'413S', [1487605424L, 1487605424L]), (u'414S', [1487605544L, 1487605544L]), (u'415S', [1487605694L, 1487605694L]), (u'416S', [1487605784L, 1487605784L]), (u'621S', [1487605934L, 1487606054L]), (u'626S', [1487606324L, 1487606324L]), (u'629S', [1487606564L, 1487606564L]), (u'631S', [1487606714L, 1487606714L]), (u'635S', [1487606954L, 1487606954L]), (u'640S', [1487607224L, 1487607224L]), (u'418S', [1487607314L, 1487607314L]), (u'419S', [1487607404L, 1487607404L]), (u'420S', [1487607464L, 1487607464L]), (u'423S', [1487607764L, 1487607764L]), (u'234S', [1487607884L, 1487607884L]), (u'235S', [1487607974L, 1487607974L]), (u'239S', [1487608214L, 1487608214L]), (u'250S', [1487608424L, 0])])",4,20170220,1487605044,1487605037
062400_2..S01X015,212S,0,S,"OrderedDict([(u'212S', [1487605106L, 1487605106L]), (u'213S', [1487605226L, 1487605226L]), (u'214S', [1487605316L, 1487605316L]), (u'215S', [1487605436L, 1487605436L]), (u'216S', [1487605556L, 1487605556L]), (u'217S', [1487605646L, 1487605646L]), (u'218S', [1487605706L, 1487605706L]), (u'219S', [1487605796L, 1487605796L]), (u'220S', [1487605886L, 1487605886L]), (u'221S', [1487606006L, 1487606006L]), (u'222S', [1487606126L, 1487606126L]), (u'224S', [1487606306L, 1487606306L]), (u'225S', [1487606396L, 1487606396L]), (u'226S', [1487606486L, 1487606486L]), (u'227S', [1487606546L, 1487606546L]), (u'120S', [1487606816L, 1487606816L]), (u'123S', [1487606966L, 1487606966L]), (u'127S', [1487607236L, 1487607236L]), (u'128S', [1487607356L, 1487607356L]), (u'129S', [1487607416L, 1487607416L]), (u'130S', [1487607476L, 1487607476L]), (u'131S', [1487607536L, 1487607536L]), (u'132S', [1487607596L, 1487607596L]), (u'133S', [1487607686L, 1487607686L]), (u'134S', [1487607776L, 1487607776L]), (u'135S', [1487607866L, 1487607866L]), (u'136S', [1487607926L, 1487607926L]), (u'137S', [1487608016L, 1487608016L]), (u'228S', [1487608076L, 1487608076L]), (u'229S', [1487608226L, 1487608226L]), (u'230S', [1487608286L, 1487608286L]), (u'231S', [1487608556L, 1487608556L]), (u'232S', [1487608616L, 1487608616L]), (u'233S', [1487608706L, 1487608706L]), (u'234S', [1487608766L, 1487608766L]), (u'235S', [1487608856L, 1487608856L]), (u'236S', [1487608916L, 1487608916L]), (u'237S', [1487609036L, 1487609036L]), (u'238S', [1487609126L, 1487609126L]), (u'239S', [1487609216L, 1487609216L]), (u'241S', [1487609396L, 1487609396L]), (u'242S', [1487609456L, 1487609456L]), (u'243S', [1487609546L, 1487609546L]), (u'244S', [1487609636L, 1487609936L]), (u'245S', [1487610026L, 1487610026L]), (u'246S', [1487610116L, 1487610116L]), (u'247S', [1487610236L, 0])])",2,20170220,1487605044,1487605037
065500_GS.N03R,None,None,N,"OrderedDict([(u'901N', [0, 1487606100L]), (u'902N', [1487606190L, 0])])",GS,20170220,1487605044,None
058250_5..S08R,419S,2,S,"OrderedDict([(u'419S', [1487605121L, 1487605121L]), (u'420S', [1487605181L, 0])])",5,20170220,1487605044,1487605035
063050_5..S08R,505S,0,S,"OrderedDict([(u'505S', [1487605075L, 1487605075L]), (u'213S', [1487605255L, 1487605255L]), (u'214S', [1487605345L, 1487605345L]), (u'215S', [1487605465L, 1487605465L]), (u'216S', [1487605585L, 1487605585L]), (u'217S', [1487605675L, 1487605675L]), (u'218S', [1487605735L, 1487605735L]), (u'219S', [1487605825L, 1487605825L]), (u'220S', [1487605915L, 1487605915L]), (u'221S', [1487606035L, 1487606035L]), (u'222S', [1487606155L, 1487606155L]), (u'416S', [1487606305L, 1487606305L]), (u'621S', [1487606455L, 1487606455L]), (u'626S', [1487606725L, 1487606725L]), (u'629S', [1487606965L, 1487606965L]), (u'631S', [1487607115L, 1487607115L]), (u'635S', [1487607355L, 1487607355L]), (u'640S', [1487607625L, 1487607745L]), (u'418S', [1487607835L, 1487607835L]), (u'419S', [1487607925L, 1487607925L]), (u'420S', [1487607985L, 0])])",5,20170220,1487605044,1487605035
066050_4..S06R,None,None,S,"OrderedDict([(u'401S', [0, 1487606430L]), (u'402S', [1487606550L, 1487606550L]), (u'405S', [1487606640L, 1487606640L]), (u'406S', [1487606760L, 1487606760L]), (u'407S', [1487606820L, 1487606820L]), (u'408S', [1487606880L, 1487606880L]), (u'409S', [1487606970L, 1487606970L]), (u'410S', [1487607060L, 1487607060L]), (u'411S', [1487607120L, 1487607120L]), (u'412S', [1487607210L, 1487607210L]), (u'413S', [1487607300L, 1487607300L]), (u'414S', [1487607420L, 1487607420L]), (u'415S', [1487607570L, 1487607570L]), (u'416S', [1487607660L, 1487607660L]), (u'621S', [1487607810L, 1487607810L]), (u'626S', [1487608080L, 1487608080L]), (u'629S', [1487608320L, 1487608320L]), (u'631S', [1487608470L, 1487608470L]), (u'635S', [1487608710L, 1487608710L]), (u'640S', [1487608980L, 1487608980L]), (u'418S', [1487609070L, 1487609070L]), (u'419S', [1487609160L, 1487609160L]), (u'420S', [1487609220L, 1487609220L]), (u'423S', [1487609520L, 1487609520L]), (u'234S', [1487609640L, 1487609640L]), (u'235S', [1487609730L, 1487609730L]), (u'239S', [1487609970L, 1487609970L]), (u'250S', [1487610180L, 0])])",4,20170220,1487605044,None
064100_1..N03X003,None,None,N,"OrderedDict([(u'132N', [0, 1487605260L]), (u'128N', [1487605500L, 1487605500L]), (u'127N', [1487605680L, 1487605680L]), (u'126N', [1487605800L, 1487605800L]), (u'125N', [1487605920L, 1487605920L]), (u'124N', [1487606010L, 1487606010L]), (u'123N', [1487606070L, 1487606070L]), (u'122N', [1487606190L, 1487606190L]), (u'121N', [1487606250L, 1487606250L]), (u'120N', [1487606370L, 1487606370L]), (u'119N', [1487606460L, 1487606460L]), (u'118N', [1487606550L, 1487606550L]), (u'117N', [1487606610L, 1487606610L]), (u'116N', [1487606760L, 1487606760L]), (u'115N', [1487606880L, 0])])",1,20170220,1487605044,None
063750_6..N01R,640N,1,N,"OrderedDict([(u'640N', [0, 1487605050L]), (u'639N', [1487605170L, 1487605170L]), (u'638N', [1487605260L, 1487605260L]), (u'637N', [1487605320L, 1487605320L]), (u'636N', [1487605410L, 1487605410L]), (u'635N', [1487605500L, 1487605500L]), (u'634N', [1487605620L, 1487605620L]), (u'633N', [1487605680L, 1487605680L]), (u'632N', [1487605740L, 1487605740L]), (u'631N', [1487605860L, 1487605860L]), (u'630N', [1487605980L, 1487605980L]), (u'629N', [1487606070L, 1487606070L]), (u'628N', [1487606160L, 1487606160L]), (u'627N', [1487606280L, 1487606280L]), (u'626N', [1487606370L, 1487606370L]), (u'625N', [1487606490L, 1487606490L]), (u'624N', [1487606580L, 1487606580L]), (u'623N', [1487606640L, 1487606640L]), (u'622N', [1487606730L, 1487606730L]), (u'621N', [1487606820L, 1487606820L]), (u'619N', [1487607000L, 1487607000L]), (u'618N', [1487607090L, 1487607090L]), (u'617N', [1487607150L, 1487607150L]), (u'616N', [1487607270L, 1487607270L]), (u'615N', [1487607360L, 1487607360L]), (u'614N', [1487607450L, 1487607450L]), (u'613N', [1487607570L, 1487607570L]), (u'612N', [1487607660L, 1487607660L]), (u'611N', [1487607780L, 1487607780L]), (u'610N', [1487607840L, 1487607840L]), (u'609N', [1487607900L, 1487607900L]), (u'608N', [1487607990L, 1487607990L]), (u'607N', [1487608080L, 1487608080L]), (u'606N', [1487608140L, 1487608140L]), (u'604N', [1487608200L, 1487608200L]), (u'603N', [1487608290L, 1487608290L]), (u'602N', [1487608380L, 1487608380L]), (u'601N', [1487608530L, 0])])",6,20170220,1487605044,1487604667
059300_2..S01X015,120S,2,S,"OrderedDict([(u'120S', [1487605197L, 1487605197L]), (u'123S', [1487605347L, 1487605347L]), (u'127S', [1487605617L, 1487605617L]), (u'128S', [1487605737L, 1487605737L]), (u'129S', [1487605797L, 1487605797L]), (u'130S', [1487605857L, 1487605857L]), (u'131S', [1487605917L, 1487605917L]), (u'132S', [1487605977L, 1487605977L]), (u'133S', [1487606067L, 1487606067L]), (u'134S', [1487606157L, 1487606157L]), (u'135S', [1487606247L, 1487606247L]), (u'136S', [1487606307L, 1487606307L]), (u'137S', [1487606397L, 1487606397L]), (u'228S', [1487606457L, 1487606457L]), (u'229S', [1487606607L, 1487606607L]), (u'230S', [1487606667L, 1487606667L]), (u'231S', [1487606937L, 1487606937L]), (u'232S', [1487606997L, 1487606997L]), (u'233S', [1487607087L, 1487607087L]), (u'234S', [1487607147L, 1487607147L]), (u'235S', [1487607237L, 1487607237L]), (u'236S', [1487607297L, 1487607297L]), (u'237S', [1487607417L, 1487607417L]), (u'238S', [1487607507L, 1487607507L]), (u'239S', [1487607597L, 1487607597L]), (u'241S', [1487607777L, 1487607777L]), (u'242S', [1487607837L, 1487607837L]), (u'243S', [1487607927L, 1487607927L]), (u'244S', [1487608017L, 1487608317L]), (u'245S', [1487608407L, 1487608407L]), (u'246S', [1487608497L, 1487608497L]), (u'247S', [1487608617L, 0])])",2,20170220,1487605044,1487605037
066400_GS.S01R,None,None,S,"OrderedDict([(u'902S', [0, 1487606640L]), (u'901S', [1487606730L, 0])])",GS,20170220,1487605044,None
058950_6..S01R,632S,0,S,"OrderedDict([(u'632S', [1487605114L, 1487605114L]), (u'633S', [1487605174L, 1487605174L]), (u'634S', [1487605234L, 1487605234L]), (u'635S', [1487605354L, 1487605354L]), (u'636S', [1487605414L, 1487605414L]), (u'637S', [1487605504L, 1487605504L]), (u'638S', [1487605564L, 1487605564L]), (u'639S', [1487605654L, 1487605654L]), (u'640S', [1487605774L, 0])])",6,20170220,1487605044,1487605038
065350_6..N01R,None,None,N,"OrderedDict([(u'640N', [0, 1487606010L]), (u'639N', [1487606130L, 1487606130L]), (u'638N', [1487606220L, 1487606220L]), (u'637N', [1487606280L, 1487606280L]), (u'636N', [1487606370L, 1487606370L]), (u'635N', [1487606460L, 1487606460L]), (u'634N', [1487606580L, 1487606580L]), (u'633N', [1487606640L, 1487606640L]), (u'632N', [1487606700L, 1487606700L]), (u'631N', [1487606820L, 1487606820L]), (u'630N', [1487606940L, 1487606940L]), (u'629N', [1487607030L, 1487607030L]), (u'628N', [1487607120L, 1487607120L]), (u'627N', [1487607240L, 1487607240L]), (u'626N', [1487607330L, 1487607330L]), (u'625N', [1487607450L, 1487607450L]), (u'624N', [1487607540L, 1487607540L]), (u'623N', [1487607600L, 1487607600L]), (u'622N', [1487607690L, 1487607690L]), (u'621N', [1487607780L, 1487607780L]), (u'619N', [1487607960L, 1487607960L]), (u'618N', [1487608050L, 1487608050L]), (u'617N', [1487608110L, 1487608110L]), (u'616N', [1487608230L, 1487608230L]), (u'615N', [1487608320L, 1487608320L]), (u'614N', [1487608410L, 1487608410L]), (u'613N', [1487608530L, 1487608530L]), (u'612N', [1487608620L, 1487608620L]), (u'611N', [1487608740L, 1487608740L]), (u'610N', [1487608800L, 1487608800L]), (u'609N', [1487608860L, 1487608860L]), (u'608N', [1487608950L, 1487608950L]), (u'607N', [1487609040L, 1487609040L]), (u'606N', [1487609100L, 1487609100L]), (u'604N', [1487609160L, 1487609160L]), (u'603N', [1487609250L, 1487609250L]), (u'602N', [1487609340L, 1487609340L]), (u'601N', [1487609490L, 0])])",6,20170220,1487605044,None
061750_2..N01X009,234N,1,N,"OrderedDict([(u'234N', [1487605030L, 1487605030L]), (u'233N', [1487605120L, 1487605120L]), (u'232N', [1487605210L, 1487605210L]), (u'231N', [1487605300L, 1487605300L]), (u'230N', [1487605480L, 1487605480L]), (u'229N', [1487605540L, 1487605540L]), (u'228N', [1487605690L, 1487605690L]), (u'137N', [1487605750L, 1487605750L]), (u'136N', [1487605840L, 1487605840L]), (u'135N', [1487605900L, 1487605900L]), (u'134N', [1487605990L, 1487605990L]), (u'133N', [1487606110L, 1487606110L]), (u'132N', [1487606200L, 1487606200L]), (u'131N', [1487606260L, 1487606260L]), (u'130N', [1487606320L, 1487606320L]), (u'129N', [1487606410L, 1487606410L]), (u'128N', [1487606470L, 1487606470L]), (u'127N', [1487606590L, 1487606590L]), (u'123N', [1487606830L, 1487606830L]), (u'120N', [1487607010L, 1487607010L]), (u'227N', [1487607250L, 1487607250L]), (u'226N', [1487607310L, 1487607310L]), (u'225N', [1487607400L, 1487607400L]), (u'224N', [1487607490L, 1487607490L]), (u'222N', [1487607670L, 1487607670L]), (u'221N', [1487607790L, 1487607790L]), (u'220N', [1487607910L, 1487607910L]), (u'219N', [1487608000L, 1487608000L]), (u'218N', [1487608060L, 1487608060L]), (u'217N', [1487608120L, 1487608120L]), (u'216N', [1487608210L, 1487608210L]), (u'215N', [1487608330L, 1487608330L]), (u'214N', [1487608450L, 1487608450L]), (u'213N', [1487608540L, 1487608540L]), (u'212N', [1487608660L, 1487608660L]), (u'211N', [1487608780L, 1487608780L]), (u'210N', [1487608900L, 1487608900L]), (u'209N', [1487608960L, 1487608960L]), (u'208N', [1487609050L, 1487609050L]), (u'207N', [1487609140L, 1487609140L]), (u'206N', [1487609230L, 1487609230L]), (u'205N', [1487609290L, 1487609290L]), (u'204N', [1487609380L, 1487609680L]), (u'201N', [1487609800L, 0])])",2,20170220,1487605044,1487605000
