tripId (S),currentStopId (S),currentStopStatus (S),direction (S),futureStops (S),routeId (S),startDate (S),timestamp (N),vehicleTimeStamp (S)
056200_1..N03X003,None,None,N,"OrderedDict([(u'132N', [0, 1487600520L]), (u'128N', [1487600760L, 1487600820L]), (u'127N', [1487601000L, 1487601000L]), (u'126N', [1487601120L, 1487601120L]), (u'125N', [1487601240L, 1487601240L]), (u'124N', [1487601330L, 1487601330L]), (u'123N', [1487601390L, 1487601390L]), (u'122N', [1487601510L, 1487601510L]), (u'121N', [1487601570L, 1487601570L]), (u'120N', [1487601690L, 1487601690L]), (u'119N', [1487601780L, 1487601780L]), (u'118N', [1487601870L, 1487601870L]), (u'117N', [1487601930L, 1487601930L]), (u'116N', [1487602080L, 1487602080L]), (u'115N', [1487602200L, 0])])",1,20170220,1487605044,None
066500_1..N03X003,None,None,N,"OrderedDict([(u'132N', [0, 1487606700L]), (u'128N', [1487606940L, 1487606940L]), (u'127N', [1487607120L, 1487607120L]), (u'126N', [1487607240L, 1487607240L]), (u'125N', [1487607360L, 1487607360L]), (u'124N', [1487607450L, 1487607450L]), (u'123N', [1487607510L, 1487607510L]), (u'122N', [1487607630L, 1487607630L]), (u'121N', [1487607690L, 1487607690L]), (u'120N', [1487607810L, 1487607810L]), (u'119N', [1487607900L, 1487607900L]), (u'118N', [1487607990L, 1487607990L]), (u'117N', [1487608050L, 1487608050L]), (u'116N', [1487608200L, 1487608200L]), (u'115N', [1487608320L, 0])])",1,20170220,1487605044,None
063700_5..N75R,420N,1,N,"OrderedDict([(u'420N', [0, 1487605025L]), (u'419N', [1487605085L, 1487605085L]), (u'418N', [1487605175L, 1487605175L]), (u'640N', [1487605265L, 1487605265L]), (u'635N', [1487605535L, 1487605535L]), (u'631N', [1487605775L, 1487605775L]), (u'629N', [1487605895L, 1487605895L]), (u'626N', [1487606105L, 1487606105L]), (u'621N', [1487606405L, 1487606405L]), (u'416N', [1487606555L, 1487606555L]), (u'222N', [1487606705L, 1487606705L]), (u'221N', [1487606825L, 1487606825L]), (u'220N', [1487606945L, 1487606945L]), (u'219N', [1487607035L, 1487607035L]), (u'218N', [1487607095L, 1487607095L]), (u'217N', [1487607155L, 1487607155L]), (u'216N', [1487607245L, 1487607245L]), (u'215N', [1487607365L, 1487607365L]), (u'214N', [1487607485L, 1487607485L]), (u'213N', [1487607575L, 1487607575L]), (u'505N', [1487607785L, 1487607785L]), (u'504N', [1487607845L, 1487607845L]), (u'503N', [1487607995L, 1487607995L]), (u'502N', [1487608145L, 1487608325L]), (u'501N', [1487608475L, 0])])",5,20170220,1487605044,1487604995
062950_6..S01R,608S,0,S,"OrderedDict([(u'608S', [1487605129L, 1487605129L]), (u'609S', [1487605219L, 1487605219L]), (u'610S', [1487605309L, 1487605309L]), (u'611S', [1487605369L, 1487605369L]), (u'612S', [1487605489L, 1487605489L]), (u'613S', [1487605609L, 1487605609L]), (u'614S', [1487605699L, 1487605699L]), (u'615S', [1487605819L, 1487605819L]), (u'616S', [1487605879L, 1487605879L]), (u'617S', [1487605999L, 1487605999L]), (u'618S', [1487606059L, 1487606059L]), (u'619S', [1487606149L, 1487606149L]), (u'621S', [1487606329L, 1487606329L]), (u'622S', [1487606419L, 1487606419L]), (u'623S', [1487606509L, 1487606509L]), (u'624S', [1487606569L, 1487606569L]), (u'625S', [1487606659L, 1487606659L]), (u'626S', [1487606779L, 1487606779L]), (u'627S', [1487606899L, 1487606899L]), (u'628S', [1487607019L, 1487607019L]), (u'629S', [1487607109L, 1487607109L]), (u'630S', [1487607229L, 1487607229L]), (u'631S', [1487607349L, 1487607349L]), (u'632S', [1487607469L, 1487607469L]), (u'633S', [1487607529L, 1487607529L]), (u'634S', [1487607589L, 1487607589L]), (u'635S', [1487607709L, 1487607709L]), (u'636S', [1487607769L, 1487607769L]), (u'637S', [1487607859L, 1487607859L]), (u'638S', [1487607919L, 1487607919L]), (u'639S', [1487608009L, 1487608009L]), (u'640S', [1487608129L, 0])])",6,20170220,1487605044,1487605039
058800_4..N06R,412N,1,N,"OrderedDict([(u'412N', [1487605064L, 1487605064L]), (u'411N', [1487605154L, 1487605154L]), (u'410N', [1487605214L, 1487605214L]), (u'409N', [1487605304L, 1487605304L]), (u'408N', [1487605394L, 1487605394L]), (u'407N', [1487605454L, 1487605454L]), (u'406N', [1487605514L, 1487605514L]), (u'405N', [1487605634L, 1487605634L]), (u'402N', [1487605724L, 1487605724L]), (u'401N', [1487605844L, 0])])",4,20170220,1487605044,1487605034
066650_5..S08R,None,None,S,"OrderedDict([(u'501S', [0, 1487606790L]), (u'502S', [1487606910L, 1487606910L]), (u'503S', [1487607060L, 1487607060L]), (u'504S', [1487607210L, 1487607210L]), (u'505S', [1487607270L, 1487607270L]), (u'213S', [1487607450L, 1487607450L]), (u'214S', [1487607540L, 1487607540L]), (u'215S', [1487607660L, 1487607660L]), (u'216S', [1487607780L, 1487607780L]), (u'217S', [1487607870L, 1487607870L]), (u'218S', [1487607930L, 1487607930L]), (u'219S', [1487608020L, 1487608020L]), (u'220S', [1487608110L, 1487608110L]), (u'221S', [1487608230L, 1487608230L]), (u'222S', [1487608350L, 1487608350L]), (u'416S', [1487608500L, 1487608500L]), (u'621S', [1487608650L, 1487608650L]), (u'626S', [1487608920L, 1487608920L]), (u'629S', [1487609160L, 1487609160L]), (u'631S', [1487609310L, 1487609310L]), (u'635S', [1487609550L, 1487609550L]), (u'640S', [1487609820L, 1487609820L]), (u'418S', [1487609910L, 1487609910L]), (u'419S', [1487610000L, 1487610000L]), (u'420S', [1487610060L, 0])])",5,20170220,1487605044,None
063150_2..N01X009,244N,2,N,"OrderedDict([(u'244N', [1487605096L, 1487605096L]), (u'243N', [1487605186L, 1487605186L]), (u'242N', [1487605276L, 1487605276L]), (u'241N', [1487605336L, 1487605336L]), (u'239N', [1487605516L, 1487605516L]), (u'238N', [1487605606L, 1487605606L]), (u'237N', [1487605726L, 1487605726L]), (u'236N', [1487605846L, 1487605846L]), (u'235N', [1487605906L, 1487605906L]), (u'234N', [1487605996L, 1487605996L]), (u'233N', [1487606086L, 1487606086L]), (u'232N', [1487606176L, 1487606176L]), (u'231N', [1487606266L, 1487606266L]), (u'230N', [1487606446L, 1487606446L]), (u'229N', [1487606506L, 1487606506L]), (u'228N', [1487606656L, 1487606656L]), (u'137N', [1487606716L, 1487606716L]), (u'136N', [1487606806L, 1487606806L]), (u'135N', [1487606866L, 1487606866L]), (u'134N', [1487606956L, 1487606956L]), (u'133N', [1487607076L, 1487607076L]), (u'132N', [1487607166L, 1487607166L]), (u'131N', [1487607226L, 1487607226L]), (u'130N', [1487607286L, 1487607286L]), (u'129N', [1487607376L, 1487607376L]), (u'128N', [1487607436L, 1487607436L]), (u'127N', [1487607556L, 1487607556L]), (u'123N', [1487607796L, 1487607796L]), (u'120N', [1487607976L, 1487607976L]), (u'227N', [1487608216L, 1487608216L]), (u'226N', [1487608276L, 1487608276L]), (u'225N', [1487608366L, 1487608366L]), (u'224N', [1487608456L, 1487608456L]), (u'222N', [1487608636L, 1487608636L]), (u'221N', [1487608756L, 1487608756L]), (u'220N', [1487608876L, 1487608876L]), (u'219N', [1487608966L, 1487608966L]), (u'218N', [1487609026L, 1487609026L]), (u'217N', [1487609086L, 1487609086L]), (u'216N', [1487609176L, 1487609176L]), (u'215N', [1487609296L, 1487609296L]), (u'214N', [1487609416L, 1487609416L]), (u'213N', [1487609506L, 1487609506L]), (u'212N', [1487609626L, 1487609626L]), (u'211N', [1487609746L, 1487609746L]), (u'210N', [1487609866L, 1487609866L]), (u'209N', [1487609926L, 1487609926L]), (u'208N', [1487610016L, 1487610016L]), (u'207N', [1487610106L, 1487610106L]), (u'206N', [1487610196L, 1487610196L]), (u'205N', [1487610256L, 1487610256L]), (u'204N', [1487610346L, 1487610646L]), (u'201N', [1487610766L, 0])])",2,20170220,1487605044,1487605040
059650_4..S06R,640S,2,S,"OrderedDict([(u'640S', [1487605168L, 1487605168L]), (u'418S', [1487605258L, 1487605258L]), (u'419S', [1487605348L, 1487605348L]), (u'420S', [1487605408L, 1487605408L]), (u'423S', [1487605708L, 1487605708L]), (u'234S', [1487605828L, 1487605828L]), (u'235S', [1487605918L, 1487605918L]), (u'239S', [1487606158L, 1487606158L]), (u'250S', [1487606368L, 0])])",4,20170220,1487605044,1487605034
065450_5..S08R,None,None,S,"OrderedDict([(u'501S', [0, 1487606070L]), (u'502S', [1487606190L, 1487606190L]), (u'503S', [1487606340L, 1487606340L]), (u'504S', [1487606490L, 1487606490L]), (u'505S', [1487606550L, 1487606550L]), (u'213S', [1487606730L, 1487606730L]), (u'214S', [1487606820L, 1487606820L]), (u'215S', [1487606940L, 1487606940L]), (u'216S', [1487607060L, 1487607060L]), (u'217S', [1487607150L, 1487607150L]), (u'218S', [1487607210L, 1487607210L]), (u'219S', [1487607300L, 1487607300L]), (u'220S', [1487607390L, 1487607390L]), (u'221S', [1487607510L, 1487607510L]), (u'222S', [1487607630L, 1487607630L]), (u'416S', [1487607780L, 1487607780L]), (u'621S', [1487607930L, 1487607930L]), (u'626S', [1487608200L, 1487608200L]), (u'629S', [1487608440L, 1487608440L]), (u'631S', [1487608590L, 1487608590L]), (u'635S', [1487608830L, 1487608830L]), (u'640S', [1487609100L, 1487609220L]), (u'418S', [1487609310L, 1487609310L]), (u'419S', [1487609400L, 1487609400L]), (u'420S', [1487609460L, 0])])",5,20170220,1487605044,None
062800_4..N06R,235N,1,N,"OrderedDict([(u'235N', [1487605030L, 1487605030L]), (u'234N', [1487605120L, 1487605120L]), (u'423N', [1487605210L, 1487605210L]), (u'420N', [1487605510L, 1487605510L]), (u'419N', [1487605570L, 1487605570L]), (u'418N', [1487605660L, 1487605660L]), (u'640N', [1487605750L, 1487605750L]), (u'635N', [1487606020L, 1487606020L]), (u'631N', [1487606260L, 1487606260L]), (u'629N', [1487606380L, 1487606380L]), (u'626N', [1487606590L, 1487606590L]), (u'621N', [1487606890L, 1487606890L]), (u'416N', [1487607040L, 1487607040L]), (u'415N', [1487607160L, 1487607160L]), (u'414N', [1487607310L, 1487607310L]), (u'413N', [1487607430L, 1487607430L]), (u'412N', [1487607520L, 1487607520L]), (u'411N', [1487607610L, 1487607610L]), (u'410N', [1487607670L, 1487607670L]), (u'409N', [1487607760L, 1487607760L]), (u'408N', [1487607850L, 1487607850L]), (u'407N', [1487607910L, 1487607910L]), (u'406N', [1487607970L, 1487607970L]), (u'405N', [1487608090L, 1487608090L]), (u'402N', [1487608180L, 1487608180L]), (u'401N', [1487608300L, 0])])",4,20170220,1487605044,1487605000
